Date,Generated_kWh,PVLib_Energy_kWh,effective_irradiance,SM_Energy_kWh
2024-05-01,4471.536,-14762.60168659266,2271.1907256438067,-1394.5308154375678
2024-05-02,5772.225,-24962.182261192116,2957.2200268632696,-2378.5413609910165
2024-05-03,3702.504,-9984.059264194975,1912.9213819708707,-959.3092855193751
2024-05-04,3584.121,-9331.093718220036,1867.081093760379,-903.9811722605099
2024-05-05,6990.819,-36932.73328709405,3671.1770015528805,-3607.346525903818
2024-05-06,6829.45,-35213.375443635916,3614.745076044282,-3466.55013812821
2024-05-07,6460.444,-31435.621806685933,3445.7762315745786,-3118.469541924275
2024-05-08,5794.024,-25155.798673403402,3113.551161575091,-2514.2117132456183
2024-05-09,5301.733,-20965.50482112249,2869.8751967795088,-2110.728552396546
2024-05-10,1044.504,-632.8514833121386,569.4338868826776,-64.11176694384082
2024-05-11,3872.221,-10958.627269460849,2125.691028475475,-1118.7957707717662
2024-05-12,6579.276,-32628.798571627798,3636.1670207884104,-3353.9964460526935
2024-05-13,6007.701,-27093.231697371382,3342.095111437367,-2803.248848171263
2024-05-14,1795.759,-2149.156986305943,1005.3621815904478,-223.70026374106828
2024-05-15,1705.524,-1920.1137892684271,960.7617727629873,-201.09182684329005
2024-05-16,1321.289,-1088.2079513937144,748.7876212474664,-114.62883323884432
2024-05-17,6132.768,-28260.55129360141,3495.747787256742,-2996.0966221259214
2024-05-18,6256.532,-29439.932490827465,3586.4097615922806,-3138.7439941237562
2024-05-19,4255.149,-13323.97425800886,2452.4709149841797,-1428.1925142439368
2024-05-20,5485.074,-22481.517557334428,3178.0068678198904,-2422.603160463238
2024-05-21,5686.328,-24206.530493903476,3311.3730369560612,-2621.775636676671
2024-05-22,6509.426,-31924.75260445066,3809.286122994469,-3474.75049392653
2024-05-23,6316.062,-30015.792801789878,3713.5822339762813,-3282.3878372039703
2024-05-24,6730.487,-34179.20676042769,3975.211026729438,-3754.678498282399
2024-05-25,6427.825,-31111.98439950117,3812.99522705356,-3432.6093484703606
2024-05-26,6274.672,-29614.81826037427,3737.6913138731384,-3281.062444735477
2024-05-27,6623.742,-33080.98732747062,3961.3920740169838,-3679.756348233381
2024-05-28,5381.349,-21617.339199481394,3230.647494357215,-2413.701851885082
2024-05-29,6120.793,-28147.71676174002,3687.926085170985,-3154.3450415511647
2024-05-30,6473.117,-31561.811559125726,3913.688927462797,-3549.1931113137366
2024-05-31,6159.159,-28510.017106764983,3736.069549604838,-3216.4952044776674
